timestamp,location,species,count
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Serinus serinus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Streptopelia decaocto,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Tadorna tadorna,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Turdus merula,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Charadrius hiaticula,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Circus aeruginosus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Columba livia,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Curruca melanocephala,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Erithacus rubecula,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Falco tinnunculus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Linaria cannabina,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Motacilla alba,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Myiopsitta monachus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Phoenicopterus roseus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Phylloscopus collybita,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Pica pica,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Picus sharpei,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Streptopelia decaocto,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Tringa ochropus,1
08-11-2024 23:01,jBAFzo8B1ljoqTiFuu2B_L7241499_38.04445_-0.69448_0,Turdus merula,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Aegithalos caudatus,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Buteo buteo,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Cecropis daurica,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Circus aeruginosus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Columba livia,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Columba palumbus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Curruca melanocephala,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Cyanistes caeruleus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Cyanopica cooki,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Erithacus rubecula,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Hirundo rustica,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Lanius meridionalis,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Larus michahellis,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Myiopsitta monachus,3
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Parus major,1
